fyear,ticker,statevariable,fixedcosts,couponrate,liabilities,equityobserved
12312014,ECL.N,6661.2,6045.171596,0.022249342,12045.3,31368.17324
12312015,ECL.N,6599,5944.479358,0.021755722,11661.3,33776.81536
12312016,ECL.N,6510.9,6079.885732,0.025124788,11359.3,34175.72439
12311998,FMC.N,759.7,492.3142677,0.034606808,3363.5,2041.872
12311999,FMC.N,874.1,538.6951792,0.049625702,3206,1740.213252
12312000,FMC.N,555.2,445.3844291,0.045873217,2214.8,2183.969222
12312001,FMC.N,157.6,441.0990526,0.035733647,2213.6,1857.498965
12312002,FMC.N,286.9,422.3570263,0.030150339,2421.2,958.557798
12312003,FMC.N,535.4,466.9773199,0.044658334,2192.2,1204.424628
12312004,FMC.N,548.9,477.6799509,0.040661109,2051.1,1788.497802
12312005,FMC.N,558.8,488.9860432,0.04129077,1729.2,2018.762176
12312006,FMC.N,593.2,484.5178874,0.026503141,1671.5,2936.962005
12312007,FMC.N,622.1,516.3990058,0.023095549,1610.7,4098.308825
12312008,FMC.N,682.2,547.5542202,0.01864365,2027.5,3243.370466
12312009,FMC.N,651,532.0097238,0.013578953,2003.1,4043.652749
12312010,FMC.N,804.1,642.193157,0.018022246,2130.7,5711.004077
12312011,FMC.N,826.6,648.5336873,0.016192506,2439.4,6059.195694
12312012,FMC.N,885.6,740.3620935,0.012840978,2819.1,8056.470521
12312013,FMC.N,885.3,782.910855,0.011138107,3663.1,10027.55409
12312014,FMC.N,922.7,787.8142458,0.015629984,3762,7603.106777
12312015,FMC.N,282.8,892.5084332,0.016909634,4417.6,5229.950554
12312016,FMC.N,1108.9,877.0315829,0.019680197,4146.3,7569.922245
12312017,FMC.N,1037.4,982.5239691,0.012816962,6499.2,12709.22028
12311998,FCX.N,818.606,799.3578803,0.063914786,3942.734,701.7752908
12311999,FCX.N,869.157,846.3255024,0.062025342,3704.115,2085.840292
12312000,FCX.N,829.803,962.342252,0.063752177,3809.015,780.8518274
12312001,FCX.N,778.529,1039.995996,0.052340872,4014.53,1185.203786
12312002,FCX.N,789.85,1192.366984,0.055013331,3795.68,2431.323132
12312003,FCX.N,876.809,1391.99861,0.059778583,3754.823,7200.426082
12312004,FCX.N,624.876,1575.123426,0.052267638,3703.898,6825.146275
12312005,FCX.N,1848.569,1830.371218,0.055145469,3484.221,9901.618956
12312006,FCX.N,2159.581,2115.870661,0.049812225,2732,10974.77587
12312007,FCX.N,7412,3352.275923,0.034028695,21188,39124.04164
12312008,FCX.N,4497,3699.21961,0.052793502,16252,9395.858896
12312009,FCX.N,5526,4184.64462,0.053021852,15239,34514.87266
12312010,FCX.N,7179,4535.924912,0.035410765,14826,56547.89586
12312011,FCX.N,7347,5039.135901,0.023082045,13517,34873.64911
12312012,FCX.N,4391,5739.562169,0.013164414,14129,32466.70412
12312013,FCX.N,7197,7143.300597,0.013803763,37526,39179.97563
12312014,FCX.N,6848,8445.976855,0.017969477,35449,24273.79991
12312015,FCX.N,4395,9762.596543,0.018271195,33769,7825.241342
12312016,FCX.N,5091,11563.5563,0.026906629,28060,17960.66874
12312017,FCX.N,5971,13407.84495,0.030954395,26006,27446.31907
12312004,MOS.N,250.8,311.6953297,0.028613425,1020.5,1890.407942
12312005,MOS.N,667.6,564.1924376,0.024363085,5208.7,5660.306138
12312006,MOS.N,698.4,709.6673508,0.034356018,5169.4,9356.847965
12312007,MOS.N,1189.2,848.4230075,0.034594747,4957.4,41682.31116
12312008,MOS.N,2994.4,911.329699,0.024480771,5065.2,15375.39095
12312009,MOS.N,1654.6,997.2528377,0.021773612,4161,26576.20504
12312010,MOS.N,1782,1164.940535,0.016593842,3959.3,34067.86319
12312011,MOS.N,2842.3,1348.586702,0.010448485,4125,21453.50068
12312012,MOS.N,3136.9,1609.089493,0.004476657,4691,24106.85268
12312013,MOS.N,1124,1721.930142,0.002769208,8233.4,20137.30059
12312014,MOS.N,2633.4,2389.203807,0.017044853,7562.4,16778.21387
12312015,MOS.N,2291.4,2854.842317,0.017074573,7824.5,9725.895913
12312016,MOS.N,1705,3438.479256,0.01947854,7218.2,10272.49664
12312017,MOS.N,1236.8,4081.120976,0.01947854,8994.3,9007.933993
12311998,IP.N,6214,4636.173441,0.040298822,19008,13771.16415
12311999,IP.N,5749,4598.820324,0.033400424,18383,23369.56217
12312000,IP.N,7558,5769.855775,0.050626741,28720,19645.91553
12312001,IP.N,6450,5448.98779,0.0424427,25611,19447.09064
12312002,IP.N,6255,4953.002827,0.036204894,24969,16774.37026
12312003,IP.N,5705,4762.774502,0.031403413,25666,20712.93966
12312004,IP.N,6183,4772.273248,0.029990301,25775,20436.67403
12312005,IP.N,5351,4926.577041,0.040474426,20235,16485.65603
12312006,IP.N,5607,5589.883323,0.078572329,15858,15514.45882
12312007,IP.N,5373,4825.52224,0.029621863,15259,13863.09695
12312008,IP.N,6681,5499.971345,0.02651919,22512,5044.854366
12312009,IP.N,8751,5748.871941,0.036386254,19293,11598.27786
12312010,IP.N,5728,5933.047221,0.035933056,18284,11916.30751
12312011,IP.N,6727,6091.52243,0.031398193,20033,12937.29337
12312012,IP.N,7012,6310.547256,0.029078653,25517,17495.54206
12312013,IP.N,7336,6824.620701,0.032537585,23081,21750.85212
12312014,IP.N,7289,7007.518715,0.030656249,23421,22697.2296
12312015,IP.N,6479,7004.324884,0.025542784,26622,15629.17296
12312016,IP.N,6260,7231.464524,0.023734948,28734,21818.98364
12312017,IP.N,5013,7087.742554,0.023734948,27362,23924.30049
12311998,MLM.N,328.373,330.0474761,0.025800041,920.89,2896.392389
12311999,MLM.N,355.708,355.1617491,0.040689967,968.568,1915.315
12312000,MLM.N,354.309,363.4465933,0.043613831,978.153,1978.197697
12312001,MLM.N,404.339,372.3069808,0.039487079,1202.368,2261.155443
12312002,MLM.N,363.942,380.1918841,0.039564107,1190.018,1496.858759
