fyear,ticker,firmname,industry,sector,statevariable,cash,fixedcosts,couponrate,liabilities,equityobserved
12311998,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,601.7,34,532.1959618,0.036864272,2208.1,1395.174935
12311999,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,571.7,35.8,596.0673708,0.055008657,2021.5,1174.049494
12312000,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,427.3,25.6,594.4523534,0.050089629,1952.5,1302.354957
12312001,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,556.7,83.1,593.3715618,0.050172241,1799.8,1937.374496
12312002,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,698.5,259.2,618.0464786,0.020804095,3633.9,2909.016208
12312003,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,737.4,36.5,760.1994504,0.042757095,3255.6,3357.193221
12312004,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,908.4,198.7,774.8537225,0.03063787,3384.7,4952.349824
12312005,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,931.1,61,790.8334747,0.039537539,3503,4132.540693
12312006,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,823,151.5,856.9638594,0.028751738,4674.5,4542.460812
12312007,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1150.6,151.6,930.4710402,0.032905709,4677,4522.43997
12312008,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1024.7,127.4,868.1822329,0.026072632,5281.4,3933.990614
12312009,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,985.9,210.6,916.225748,0.023892524,4905.3,4865.132907
12312010,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1021.4,152,1015.931034,0.028351298,5269.6,6010.216354
12312011,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1507.7,165.8,1089.528724,0.03011885,5906.6,5807.981066
12312012,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1401,174.1,1099.350682,0.028920236,6217.1,6884.873644
12312013,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1437.2,416,1171.930056,0.029276747,6404.4,7471.766403
12312014,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1620,191.4,1204.301322,0.026629182,6331.4,9333.969332
12312015,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1601.2,224,1215.300349,0.01697487,8436,9914.642985
12312016,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,883,597,1334.764442,0.018128562,12632,13122.67448
12312017,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,2221,448,1414.73241,0.021869999,13123,13249.60616
12311998,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1154,29,542.0280546,0.0273238,3916,3546.056499
12311999,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1220,186,614.4825913,0.026628521,4544,3723.916875
12312000,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1334,101,649.1168741,0.029970452,4738,3743.71881
12312001,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,956,66,746.4506166,0.032271762,4710,3009.921404
12312002,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1336,77,753.0884769,0.025518341,5016,2844.023304
12312003,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,788,558,800.7339412,0.025572005,5201,3059.173176
12312004,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1079,325,880.2054773,0.029001074,4655,4580.108326
12312005,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1334,524,908.4553274,0.030281182,4161,4203.671857
12312006,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1234,939,1024.591373,0.049232269,4103,4880.33195
12312007,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1260,888,992.9025723,0.02750191,3927,4872.111686
12312008,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1133,387,1020.888559,0.025751073,3728,2297.84939
12312009,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1210,793,1081.294072,0.02123938,4002,4365.47485
12312010,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1125,516,1282.149023,0.026611608,4359,5948.507731
12312011,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1189,777,1415.815097,0.01937894,4283,5373.745355
12312012,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,1920,249,1783.039989,0.017046763,8682,10476.6613
12312013,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,2128,237,1984.020489,0.023337516,7970,12304.10094
12312014,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,2391,214,2299.475887,0.016263419,12482,11276.39601
12312015,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,2661,293,2597.733372,0.023012371,11559,9978.841385
12312016,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,2368,181,2798.827389,0.02580883,10849,11037.13323
12312017,EMN.N,Eastman Chemical Co,Commodity Chemicals,Basic Materials,2619,191,3074.615241,0.025002377,10519,13315.55472
12311998,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,1035.913,28.425,991.8929692,0.032286336,780.454,4681.749236
12311999,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,1170.394,47.748,1091.797619,0.029676065,823.93,5063.401
12312000,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,1216.901,43.965,1142.41548,0.051640328,957.004,5485.437855
12312001,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,1277.411,41.793,1183.203965,0.01913905,1644.648,5145.664932
12312002,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,1753.627,49.205,1633.404197,0.026730368,1766.156,6413.530118
12312003,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,2033.092,85.626,1849.080082,0.025862796,1907.837,7051.933406
12312004,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,2276.471,71.231,2086.771984,0.02288869,2118.033,9053.238619
12312005,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,2383.513,229.441,2220.890105,0.023188778,2147.418,9285.998387
12312006,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,2546.978,484.029,2398.855625,0.01872854,2739.135,11352.11813
12312007,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,2962.3,137.4,2702.37772,0.027089089,2787.1,12598.5742
12312008,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,3081.2,66.7,2930.987551,0.022227106,3185.3,8698.924707
12312009,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,2936.7,73.6,2917.930337,0.022415568,3011.3,10590.18072
12312010,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,3277.6,242.3,3085.569669,0.023948598,2739.2,11704.24635
12312011,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,3205.7,1843.6,3370.686178,0.006597769,12443.6,17366.00543
12312012,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,5506.9,1157.8,5257.691756,0.02502585,11412.2,21060.10476
12312013,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,6192.9,355,5702.745502,0.022311096,12227.1,31416.4729
12312014,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,6661.2,250.6,6045.171596,0.022249342,12045.3,31368.17324
